10 100
1 1 0
1 2 296
1 3 133
1 4 389
1 5 311
1 6 360
1 8 558
1 8 260
1 9 168
1 10 291
2 1 296
2 2 0
2 3 262
2 4 272
2 5 445
2 6 564
2 7 645
2 8 450
2 9 280
2 10 82
3 1 133
3 2 262
3 3 0
3 4 219
3 5 201
3 6 337
3 7 449
3 8 223
3 9 287
3 10 193
4 1 389
4 2 272
4 3 219
4 4 0
4 5 164
4 6 459
4 7 377
4 8 277
4 9 429
4 10 194
5 1 311
5 2 445
5 3 201
5 4 164
5 5 0
5 6 316
5 7 243
5 8 140
5 9 467
5 10 367
6 1 360
6 2 564
6 3 337
6 4 459
6 5 316
6 6 0
6 7 366
6 8 170
6 9 508
6 10 531
7 1 558
7 2 645
7 3 449
7 4 377
7 5 243
7 6 366
7 7 0
7 8 258
7 9 711
7 10 568
8 1 260
8 2 450
8 3 223
8 4 277
8 5 140
8 6 170
8 7 258
8 8 0
8 9 427
8 10 416
9 1 168
9 2 280
9 3 287
9 4 429
9 5 467
9 6 508
9 7 711
9 8 427
9 9 0
9 10 343
10 1 291
10 2 82
10 3 193
10 4 194
10 5 367
10 6 531
10 7 568
10 8 416
10 9 343
10 10 0
